scenariusz,iteracja,udzial_ciezarowek,tau_osobowki,tau_ciezarowki,liczba_pojazdow_exit,sredni_czas_opoznienia_s,calkowity_czas_symulacji_s
Rondo,499,0.0492,1.1137,3.2137,1539.0,1135.01,6352.0
Rondo,500,0.0229,1.9459,4.0459,1540.0,1392.65,7364.0
Rondo,501,0.0982,2.1319,4.2319,1541.0,1831.76,8872.0
Rondo,502,0.1478,1.3293,3.4293,1541.0,1755.52,8573.0
Rondo,503,0.0711,2.1086,4.2086,1536.0,1747.72,8566.0
Rondo,504,0.1453,1.4679,3.5679,1546.0,1786.65,8770.0
Rondo,505,0.015,2.1856,4.2856,1539.0,1488.57,7668.0
Rondo,506,0.1086,1.6372,3.7372,1540.0,1675.08,8280.0
Rondo,507,0.0049,1.0872,3.1872,1540.0,923.0,5439.0
Rondo,508,0.094,2.4943,4.5943,1543.0,1988.01,9273.0
Rondo,509,0.1013,2.1307,4.2307,1539.0,1897.51,9079.0
